RegionID,SizeRank,RegionName,RegionType,StateName,zhvi_mid_all,snapshot_date_zhvi_mid_all,zhvi_mid_all_raw,snapshot_date_zhvi_mid_all_raw,zhvi_mid_sfr,snapshot_date_zhvi_mid_sfr,zhvi_mid_condo,snapshot_date_zhvi_mid_condo,zhvi_bottom_all,snapshot_date_zhvi_bottom_all,zhvi_top_all,snapshot_date_zhvi_top_all,zhvi_mid_1br,snapshot_date_zhvi_mid_1br,zhvi_mid_2br,snapshot_date_zhvi_mid_2br,zhvi_mid_3br,snapshot_date_zhvi_mid_3br,zhvi_mid_4br,snapshot_date_zhvi_mid_4br,zhvi_mid_5br,snapshot_date_zhvi_mid_5br,zori_rent_index,snapshot_date_zori_rent_index,inventory_for_sale,snapshot_date_inventory_for_sale,new_listings,snapshot_date_new_listings,new_pending,snapshot_date_new_pending,sales_count,snapshot_date_sales_count,new_construction_sales_count,snapshot_date_new_construction_sales_count,median_sale_price_now,snapshot_date_median_sale_price_now,median_sale_to_list,snapshot_date_median_sale_to_list,pct_sold_above_list,snapshot_date_pct_sold_above_list,pct_listings_price_cut,snapshot_date_pct_listings_price_cut,median_days_to_close,snapshot_date_median_days_to_close,market_temp_index,snapshot_date_market_temp_index,income_needed_to_buy_20pct_mid,snapshot_date_income_needed_to_buy_20pct_mid,income_needed_to_rent_mid,snapshot_date_income_needed_to_rent_mid,zhvf_base_date,zhvf_growth_1m,zhvf_growth_3m,zhvf_growth_12m
394921,841,"North Vernon, IN",msa,IN,215164.56508060227,2025-10-31,217213.0728787532,2025-10-31,215180.6326514139,2025-10-31,,,137122.14873721465,2025-10-31,345032.0210473977,2025-10-31,115924.50200806044,2025-10-31,157717.51412909987,2025-10-31,220623.70786679324,2025-10-31,280073.3424257978,2025-10-31,328525.758040285,2025-10-31,,,75.0,2025-10-31,19.0,2025-10-31,16.0,2025-10-31,,,,,,,,,,,0.0324076143865265,2025-10-31,,,33.0,2025-10-31,,,,,2025-10-31,0.6,1.3,3.8
395154,843,"Thomaston, GA",msa,GA,181738.0480328624,2025-10-31,184158.7766315455,2025-10-31,181730.4817701749,2025-10-31,,,97480.80457672731,2025-10-31,311785.50016402034,2025-10-31,78380.10100044945,2025-10-31,124793.14039677866,2025-10-31,220578.7373792363,2025-10-31,328419.8119876944,2025-10-31,423734.8420579969,2025-10-31,,,130.0,2025-10-31,24.0,2025-10-31,15.0,2025-10-31,,,,,,,,,,,0.0380235845352124,2025-10-31,,,42.0,2025-10-31,,,,,2025-10-31,0.9,1.8,6.3
394642,845,"Grants, NM",msa,NM,145220.9030305563,2025-10-31,144318.72159242074,2025-10-31,145157.19434890538,2025-10-31,,,82947.43555257622,2025-10-31,245315.7165447815,2025-10-31,,,95480.11751567145,2025-10-31,150749.20119094726,2025-10-31,221853.573390961,2025-10-31,,,,,75.0,2025-10-31,8.0,2025-10-31,6.0,2025-10-31,,,,,,,,,,,,,,,53.0,2025-10-31,,,,,2025-10-31,-0.5,-0.8,0.6
394381,846,"Bennettsville, SC",msa,SC,90415.45933099814,2025-10-31,91520.06181021297,2025-10-31,90370.06309056478,2025-10-31,,,53900.6366729321,2025-10-31,157377.32529858247,2025-10-31,,,,,139676.56859835397,2025-10-31,,,,,,,32.0,2025-10-31,9.0,2025-10-31,8.0,2025-10-31,,,,,,,,,,,,,,,67.0,2025-10-31,,,,,2025-10-31,-0.1,-2.2,-9.2
394615,847,"Fredericksburg, TX",msa,TX,508794.13182255137,2025-10-31,502557.61048708746,2025-10-31,509482.9572555947,2025-10-31,,,316291.0585780523,2025-10-31,1115444.5090033032,2025-10-31,,,421591.037062394,2025-10-31,499885.40754001314,2025-10-31,683016.2485872852,2025-10-31,1222353.0958091402,2025-10-31,2190.0,2025-10-31,607.0,2025-10-31,59.0,2025-10-31,19.0,2025-10-31,,,5.0,2025-09-30,,,,,,,0.0527538562798894,2025-10-31,,,34.0,2025-10-31,,,,,2025-10-31,-0.9,-2.0,-1.5
395159,848,"Toccoa, GA",msa,GA,233327.1272940753,2025-10-31,233754.52826028495,2025-10-31,232931.93262022536,2025-10-31,,,139269.89274011293,2025-10-31,401126.2349437534,2025-10-31,162404.82867745604,2025-10-31,165101.57301265455,2025-10-31,247755.5023812065,2025-10-31,371212.6353082245,2025-10-31,488993.3839761938,2025-10-31,,,119.0,2025-10-31,26.0,2025-10-31,20.0,2025-10-31,,,,,,,,,,,0.0338297745077585,2025-10-31,,,52.0,2025-10-31,,,,,2025-10-31,0.1,1.0,4.6
753923,849,"The Dalles, OR",msa,OR,392661.9516609137,2025-10-31,394787.1779506721,2025-10-31,393426.6959575501,2025-10-31,,,290920.31015408394,2025-10-31,585911.2205923843,2025-10-31,277333.59940520953,2025-10-31,317301.32997318404,2025-10-31,404843.9823969826,2025-10-31,462053.6249024835,2025-10-31,519218.4615634644,2025-10-31,1693.75,2025-10-31,126.0,2025-10-31,16.0,2025-10-31,18.0,2025-10-31,,,,,,,,,,,0.0245573007005254,2025-10-31,,,22.0,2025-10-31,,,,,2025-10-31,0.2,0.5,0.9
394649,850,"Greensburg, IN",msa,IN,246307.9983919009,2025-10-31,247637.2944873965,2025-10-31,246895.03200836305,2025-10-31,,,162761.03253766047,2025-10-31,425341.46095914143,2025-10-31,123826.21433516736,2025-10-31,173005.9640353371,2025-10-31,248490.44265976717,2025-10-31,329964.2988505279,2025-10-31,394552.9635627358,2025-10-31,,,83.0,2025-10-31,27.0,2025-10-31,24.0,2025-10-31,,,,,,,0.9770415781046172,2025-09-30,0.1565079365079365,2025-09-30,0.0308383976179399,2025-10-31,29.0,2025-09-30,33.0,2025-10-31,,,,,2025-10-31,0.3,0.5,2.3
394706,851,"Indianola, MS",msa,MS,92394.29949353731,2025-10-31,92424.95134257327,2025-10-31,92325.71417148996,2025-10-31,,,53992.25757351952,2025-10-31,175127.87667290695,2025-10-31,,,58569.94387146943,2025-10-31,97223.0760562582,2025-10-31,123058.44214351002,2025-10-31,160017.16638618024,2025-10-31,,,49.0,2025-10-31,,,,,,,,,,,,,,,,,,,40.0,2025-10-31,,,,,2025-10-31,-0.6,-2.0,-7.4
394758,852,"La Grande, OR",msa,OR,324549.8593592646,2025-10-31,327078.35061094235,2025-10-31,324450.2529457542,2025-10-31,,,225353.2786209362,2025-10-31,522798.69490077713,2025-10-31,232845.0651116944,2025-10-31,242756.8547330573,2025-10-31,335114.70155944343,2025-10-31,406575.2147900316,2025-10-31,478006.1469288427,2025-10-31,1414.1666666666667,2025-10-31,98.0,2025-10-31,23.0,2025-10-31,18.0,2025-10-31,,,,,,,,,,,0.0402369929880997,2025-10-31,,,55.0,2025-10-31,,,,,2025-10-31,0.5,1.1,3.4
